Coin,Date,Open,High,Low,Close,Volume
BITCOIN,01-01-2015,318.2,321.4,313.5,314.9,12820
BITCOIN,02-01-2015,314.9,316.4,313.1,315.2,14730
BITCOIN,03-01-2015,315.2,315.8,284.9,287.1,47370
BITCOIN,04-01-2015,287.1,289.9,255.9,264.7,88770
BITCOIN,05-01-2015,264.7,278.3,262.9,274.8,54990
BITCOIN,06-01-2015,274.8,285.1,271.5,282.3,21940
BITCOIN,07-01-2015,282.3,296.1,280.7,291.3,30670
BITCOIN,08-01-2015,291.3,292.7,279,282.7,20180
BITCOIN,09-01-2015,282.7,290.6,277.3,288,20930
BITCOIN,10-01-2015,288,289.3,272,273.4,14730
BITCOIN,11-01-2015,273.4,278,263.8,264.8,15110
BITCOIN,12-01-2015,264.8,273.1,263.3,269.3,25390
BITCOIN,13-01-2015,269.3,269.1,217.1,221.3,95500
BITCOIN,14-01-2015,221.3,230.9,157.3,164.9,170680
BITCOIN,15-01-2015,164.9,231.3,164.6,209.8,124670
BITCOIN,16-01-2015,209.8,222.6,198.7,206.9,62320
BITCOIN,17-01-2015,206.9,212.6,191.7,199.6,43130
BITCOIN,18-01-2015,199.6,220.7,192.5,210.6,40370
BITCOIN,19-01-2015,210.6,219.5,205.5,215.9,31580
BITCOIN,20-01-2015,215.9,216.6,203.4,210.6,37480
BITCOIN,21-01-2015,210.6,229.3,207.1,228.2,43180
BITCOIN,22-01-2015,228.2,238.8,225.6,232.7,53710
BITCOIN,23-01-2015,232.7,237,224.8,232.2,38170
BITCOIN,24-01-2015,232.2,248.9,229.6,248.2,33240
BITCOIN,25-01-2015,248.2,256.4,241.4,252.1,50190
BITCOIN,26-01-2015,252.1,310.9,251.5,269.2,105710
BITCOIN,27-01-2015,269.2,276.9,247.3,263.3,50260
BITCOIN,28-01-2015,263.3,267.7,228.1,236.2,63770
BITCOIN,29-01-2015,236.2,241.5,220.4,234,54490
BITCOIN,30-01-2015,234,244.8,227.2,231.8,48230
BITCOIN,31-01-2015,231.8,235.4,216.5,218.5,42150
BITCOIN,01-02-2015,218.5,231.4,209.7,225.3,41160
BITCOIN,02-02-2015,225.3,242.5,220.5,238.9,39020
BITCOIN,03-02-2015,238.9,247.5,223.9,227.4,63080
BITCOIN,04-02-2015,227.4,230.7,220.2,226.6,55240
BITCOIN,05-02-2015,226.6,229.9,214.4,216.5,40640
BITCOIN,06-02-2015,216.5,226.2,215.6,223,52520
BITCOIN,07-02-2015,223,231,222.4,227.7,39760
BITCOIN,08-02-2015,227.7,230.2,219.5,223.7,29050
BITCOIN,09-02-2015,223.7,225,215.7,220.3,91690
BITCOIN,10-02-2015,220.3,222.2,214.4,219.7,86150
BITCOIN,11-02-2015,219.7,223.5,217.3,218.8,71730
BITCOIN,12-02-2015,218.8,223,217.3,221.8,50110
BITCOIN,13-02-2015,221.8,241.6,220.6,236.2,112250
BITCOIN,14-02-2015,236.2,261.3,235.4,258.6,133800
BITCOIN,15-02-2015,258.6,264.6,226.6,233.3,179140
BITCOIN,16-02-2015,233.3,240,228,235.8,115470
BITCOIN,17-02-2015,235.8,247.2,232,243.2,116260
BITCOIN,18-02-2015,243.2,245.5,231.7,235.2,99660
BITCOIN,19-02-2015,235.2,244.1,234.9,241.9,66050
BITCOIN,20-02-2015,241.9,247.8,238.8,244.5,83590
BITCOIN,21-02-2015,244.5,247.3,242.6,244.4,42950
BITCOIN,22-02-2015,244.4,246.5,232.7,235.7,75700
BITCOIN,23-02-2015,235.7,240.1,231.3,238.8,62670
BITCOIN,24-02-2015,238.8,240.3,235.5,238.9,45030
BITCOIN,25-02-2015,238.9,239.6,234.6,237.3,38100
BITCOIN,26-02-2015,237.3,238.2,233.5,236.5,50870
BITCOIN,27-02-2015,236.5,258.7,235.7,253.5,167810
BITCOIN,28-02-2015,253.5,255.4,248.7,254.1,39410
BITCOIN,01-03-2015,254.1,260.6,244.8,257.9,51330
BITCOIN,02-03-2015,257.9,274.8,256.1,273.8,81090
BITCOIN,03-03-2015,273.8,287.1,266.1,280.6,164820
BITCOIN,04-03-2015,280.6,284.5,265.9,271.9,139000
BITCOIN,05-03-2015,271.9,280.8,262.8,275.2,123640
BITCOIN,06-03-2015,275.2,278,269,272.6,98800
BITCOIN,07-03-2015,272.6,278.3,269.4,274.9,60720
BITCOIN,08-03-2015,274.9,278.8,271.3,274.5,50400
